Paper Name,Area,Read? (Yes/No),Reproduced?,Notes
Paper 1,Transformer / Scaling / Theory,,,
Paper 2,Transformer / Scaling / Theory,,,
Paper 3,Transformer / Scaling / Theory,,,
Paper 4,Transformer / Scaling / Theory,,,
Paper 5,Transformer / Scaling / Theory,,,
Paper 6,Transformer / Scaling / Theory,,,
Paper 7,Transformer / Scaling / Theory,,,
Paper 8,Transformer / Scaling / Theory,,,
Paper 9,Transformer / Scaling / Theory,,,
Paper 10,Transformer / Scaling / Theory,,,
Paper 11,Transformer / Scaling / Theory,,,
Paper 12,Transformer / Scaling / Theory,,,
Paper 13,Transformer / Scaling / Theory,,,
Paper 14,Transformer / Scaling / Theory,,,
Paper 15,Transformer / Scaling / Theory,,,
Paper 16,Transformer / Scaling / Theory,,,
Paper 17,Transformer / Scaling / Theory,,,
Paper 18,Transformer / Scaling / Theory,,,
Paper 19,Transformer / Scaling / Theory,,,
Paper 20,Transformer / Scaling / Theory,,,
Paper 21,Transformer / Scaling / Theory,,,
Paper 22,Transformer / Scaling / Theory,,,
Paper 23,Transformer / Scaling / Theory,,,
Paper 24,Transformer / Scaling / Theory,,,
Paper 25,Transformer / Scaling / Theory,,,
Paper 26,Transformer / Scaling / Theory,,,
Paper 27,Transformer / Scaling / Theory,,,
Paper 28,Transformer / Scaling / Theory,,,
Paper 29,Transformer / Scaling / Theory,,,
Paper 30,Transformer / Scaling / Theory,,,
Paper 31,Transformer / Scaling / Theory,,,
Paper 32,Transformer / Scaling / Theory,,,
Paper 33,Transformer / Scaling / Theory,,,
Paper 34,Transformer / Scaling / Theory,,,
Paper 35,Transformer / Scaling / Theory,,,
Paper 36,Transformer / Scaling / Theory,,,
Paper 37,Transformer / Scaling / Theory,,,
Paper 38,Transformer / Scaling / Theory,,,
Paper 39,Transformer / Scaling / Theory,,,
Paper 40,Transformer / Scaling / Theory,,,
Paper 41,Transformer / Scaling / Theory,,,
Paper 42,Transformer / Scaling / Theory,,,
Paper 43,Transformer / Scaling / Theory,,,
Paper 44,Transformer / Scaling / Theory,,,
Paper 45,Transformer / Scaling / Theory,,,
Paper 46,Transformer / Scaling / Theory,,,
Paper 47,Transformer / Scaling / Theory,,,
Paper 48,Transformer / Scaling / Theory,,,
Paper 49,Transformer / Scaling / Theory,,,
Paper 50,Transformer / Scaling / Theory,,,
Paper 51,Transformer / Scaling / Theory,,,
Paper 52,Transformer / Scaling / Theory,,,
Paper 53,Transformer / Scaling / Theory,,,
Paper 54,Transformer / Scaling / Theory,,,
Paper 55,Transformer / Scaling / Theory,,,
Paper 56,Transformer / Scaling / Theory,,,
Paper 57,Transformer / Scaling / Theory,,,
Paper 58,Transformer / Scaling / Theory,,,
Paper 59,Transformer / Scaling / Theory,,,
Paper 60,Transformer / Scaling / Theory,,,
Paper 61,Transformer / Scaling / Theory,,,
Paper 62,Transformer / Scaling / Theory,,,
Paper 63,Transformer / Scaling / Theory,,,
Paper 64,Transformer / Scaling / Theory,,,
Paper 65,Transformer / Scaling / Theory,,,
Paper 66,Transformer / Scaling / Theory,,,
Paper 67,Transformer / Scaling / Theory,,,
Paper 68,Transformer / Scaling / Theory,,,
Paper 69,Transformer / Scaling / Theory,,,
Paper 70,Transformer / Scaling / Theory,,,
Paper 71,Transformer / Scaling / Theory,,,
Paper 72,Transformer / Scaling / Theory,,,
Paper 73,Transformer / Scaling / Theory,,,
Paper 74,Transformer / Scaling / Theory,,,
Paper 75,Transformer / Scaling / Theory,,,
Paper 76,Transformer / Scaling / Theory,,,
Paper 77,Transformer / Scaling / Theory,,,
Paper 78,Transformer / Scaling / Theory,,,
Paper 79,Transformer / Scaling / Theory,,,
Paper 80,Transformer / Scaling / Theory,,,
Paper 81,Transformer / Scaling / Theory,,,
Paper 82,Transformer / Scaling / Theory,,,
Paper 83,Transformer / Scaling / Theory,,,
Paper 84,Transformer / Scaling / Theory,,,
Paper 85,Transformer / Scaling / Theory,,,
Paper 86,Transformer / Scaling / Theory,,,
Paper 87,Transformer / Scaling / Theory,,,
Paper 88,Transformer / Scaling / Theory,,,
Paper 89,Transformer / Scaling / Theory,,,
Paper 90,Transformer / Scaling / Theory,,,
Paper 91,Transformer / Scaling / Theory,,,
Paper 92,Transformer / Scaling / Theory,,,
Paper 93,Transformer / Scaling / Theory,,,
Paper 94,Transformer / Scaling / Theory,,,
Paper 95,Transformer / Scaling / Theory,,,
Paper 96,Transformer / Scaling / Theory,,,
Paper 97,Transformer / Scaling / Theory,,,
Paper 98,Transformer / Scaling / Theory,,,
Paper 99,Transformer / Scaling / Theory,,,
Paper 100,Transformer / Scaling / Theory,,,
