Week,Focus Area,Primary Goal,Deliverable
Week 1,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 2,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 3,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 4,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 5,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 6,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 7,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 8,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 9,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 10,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 11,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 12,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 13,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 14,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 15,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 16,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 17,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 18,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 19,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 20,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 21,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 22,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 23,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
Week 24,Follow roadmap sequentially,Complete assigned videos + derivations,Implement mini project / math derivation notebook
